,Image,Galaxy,Constellation,Origin of name,Notes
16,,Coma Pinwheel Galaxy,Coma Berenices,Named after its resemblance to the Pinwheel Galaxy and its location in the Coma Berenices constellation.[citation needed],Also known as Messier 99 or M99[citation needed]
17,,Comet Galaxy,Sculptor,"This galaxy is named after its unusual appearance, looking like a comet.[citation needed]","The comet effect is caused by tidal stripping by its galaxy cluster, Abell 2667.[citation needed]"
18,,Condor Galaxy,Pavo,"Named after a condor, a type of vulture that is one of the largest flying birds.[citation needed]","The largest known spiral galaxy, it has a diameter of over 665,300 light-years (204.0 kiloparsecs).[5] It is tidally disturbed by the smaller lenticular galaxy IC 4970.[6]"
19,,Cosmos Redshift 7,Sextans,"The name of this galaxy is based on a Redshift (z) measurement of nearly 7 (actually, z = 6.604).[7]",Galaxy Cosmos Redshift 7 is reported to be the brightest of distant galaxies (z > 6) and to contain some of the earliest first stars (first generation; Population III) that produced the chemical elements needed for the later formation of planets and life as we know it.[7]
20,,Dusty Hand Galaxy,Camelopardalis,Named after the dust lanes and spiral arms of the galaxy.[citation needed],
21,,Eye of God,Eridanus,Named after its structural appearance[citation needed],A prototype for multi-arm spiral galaxies[citation needed]
22,,Eye of Sauron,Canes Venatici,Due to its resemblance to the Eye of Sauron from The Lord of the Rings.[8],
23,,Fireworks Galaxy,Cygnus and Cepheus,Due to its bright and spotty appearance[citation needed],Active starburst galaxy[citation needed]
24,,Fried Egg Galaxy,Pegasus,Due to its similar appearance to a fried egg[citation needed],
25,,Godzilla Galaxy,Perseus,Its extremely large size[9],
26,,Helix Galaxy,Ursa Major,Its shape resembles a helix[citation needed],
27,,Grasshopper,Lynx,Named after its appearance to a grasshopper[10],Two colliding galaxies
28,,Hidden Galaxy,Camelopardalis,The difficulty in observing this object makes it 'hidden'[11][5] though it can readily be detected even with binoculars.[12],
29,,Hockey Stick Galaxies,Canes Venatici,Its elongated and curved appearance resembles a hockey stick.[citation needed],Also known as Crowbar Galaxy[citation needed]
30,,Hoag's Object,Serpens Caput,"This is named after Art Hoag, who discovered this ring galaxy.[citation needed]","It is of the subtype Hoag-type galaxy, and may in fact be a polar-ring galaxy with the ring in the plane of rotation of the central object.[citation needed]"
31,,Knife Edge Galaxy,Draco,"Named after its thin shape, similar to knife's edge.[citation needed]",
32,,Large Magellanic Cloud,Dorado/Mensa,Named after Ferdinand Magellan[citation needed],"This is the fourth-largest galaxy in the Local Group, and forms a pair with the SMC, and from recent research, may not be part of the Milky Way system of satellites at all.[13]"
33,,Lindsay-Shapley Ring,Volans,"Named after its discoverer, Eric Lindsay, his professor Harlow Shapley, and its nature as a ring galaxy.[citation needed]",The ring is the result of collision with another galaxy[citation needed]
34,,Little Sombrero Galaxy,Pegasus,Named after its similarity to the Sombrero Galaxy.[citation needed],
35,,Malin 1,Coma Berenices,Discovered and named by David Malin.[14],
36,,Meathook Galaxy,Volans,After its appearance resembling a meathook.[15],
37,,Medusa Merger,Ursa Major,Ejected dust from the merging galaxies is said to look like the snakes that the Gorgon Medusa from Greek mythology had on her head.[citation needed],
38,,Sculptor Dwarf Galaxy,Sculptor,Similar to the Sculpture Galaxies[citation needed],"Also known as Sculptor Dwarf Elliptical Galaxy, Sculptor Dwarf Spheroidal Galaxy, and formerly as the Sculptor System[citation needed]"
39,,Mice Galaxies,Coma Berenices,Appearance is similar to a mouse.[citation needed],
40,,Small Magellanic Cloud,Tucana,Named after Ferdinand Magellan[citation needed],"This forms a pair with the LMC, and from recent research, may not be part of the Milky Way system of satellites at all.[citation needed]"
41,,Mayall's Object,Ursa Major,"This is named after Nicholas Mayall, of the Lick Observatory, who discovered it.[16][17][18]","Also called VV 32 and Arp 148, this is a very peculiar looking object, and is likely to be not one galaxy, but two galaxies undergoing a collision. Event in images is a spindle shape and a ring shape.[citation needed]"
42,,Milky Way,Sagittarius (centre),The appearance from Earth of the galaxy—a band of light[citation needed],"The galaxy containing the Sun and its Solar System, and therefore Earth."
43,,Needle Galaxy,Coma Berenices,Named due to its slender appearance.[citation needed],Also known as Caldwell 38[citation needed]
44,,Wolf-Lundmark-Melotte,Cetus,Named for the three astronomers instrumental in its discovery and identification.[citation needed],
45,,Paramecium Galaxy,Pegasus,Named after its appearance to the organism Paramecium,It is included in the Atlas of Peculiar Galaxies in the category galaxies with detached segments.
46,,Peekaboo Galaxy,Hydra,Galaxy (aka HIPASS J1131-31) was hidden behind a relatively fast-moving foreground star (TYC 7215-199-1) and became observable when the star moved aside.[citation needed],"Galaxy, relatively nearby, is considered one of the most metal-poor (""extremely metal-poor"" (XMP)), least chemically enriched, and seemingly primordial, galaxies known.[19][20]"
47,,Pinwheel Galaxy,Ursa Major,Similar in appearance to a pinwheel (toy).[citation needed],Also known as Messier 101 or M101[citation needed]
48,,Porphyrion,Draco,,
49,,Porpoise Galaxy,Hydra,Its appearance resembles a porpoise[21],Also known as the Penguin Galaxy
50,,Sculptor Galaxy,Sculptor,"Named after its location in the Sculptor Constellation. Also called the Silver Dollar or Silver Coin Galaxy, because of its light and circular appearance.[citation needed]","Also known as the Silver Coin, Silver Dollar Galaxy or Caldwell 65[citation needed]"
51,,Skyrocket Galaxy,Ursa Major,Its resemblance to a July 4th skyrocket[citation needed],
52,,Sombrero Galaxy,Virgo,Similar in appearance to a sombrero.[22],Also known as Messier Object 104 or M104
53,,Southern Pinwheel Galaxy,Hydra,Named after its resemblance to the Pinwheel Galaxy and its location in the southern celestial hemisphere.[citation needed],
54,,Spider Galaxy,Boötes,Named after its appearance of a spider[citation needed],
55,,Spiderweb Galaxy,Hydra,Its irregular shape and continuous structure resembles a spiderweb.[23],
56,,Starfish Galaxy,Ophiuchus,Similar in appearance to a starfish.[citation needed],Merger of 3 galaxies[citation needed]
57,,Sunflower Galaxy,Canes Venatici,Similar in appearance to a sunflower.[citation needed],
58,,Tadpole Galaxy,Draco,The name comes from the resemblance of the galaxy to a tadpole.[24],This shape resulted from tidal interaction that drew out a long tidal tail.
59,,Topsy Turvy Galaxy,Reticulum,The disorganized and chaotic appearance makes it look topsy turvy.[25],
60,,Triangulum Galaxy,Triangulum,Named after its location within the Triangulum constellation.[citation needed],
61,,UFO Galaxy,Lynx,Named after its resemblance to a UFO.[26],
62,,Whale Galaxy,Canes Venatici,Named after its supposed resemblance to a whale.[citation needed],
63,,Whirlpool Galaxy,Canes Venatici,From the whirlpool appearance this gravitationally disturbed galaxy exhibits.[citation needed],
