id,name,type_id,constellation_id,mass (kg),radius (km),temperature_low (K),temperature_high (K)
105,HD 37124,22,78,1.61E+30,486000,5606,5606
106,HD 20781,7,37,1.4E+30,600000,5256,5256
107,Kepler-444,21,52,1.51E+30,523200,5040,5040
108,HD 141399,22,9,2.17E+30,1015000,5600,5600
109,Kepler-42,11,31,2.72E+29,119400,3068,3068
110,HD 31527,7,48,2.189E+30,6957000,,
111,HD 10180,7,43,2.11E+30,770000,5911,5911
112,HD 23472,7,70,1.33E+30,507422.3,4684,4684
113,HR 8799,7,62,2.844E+30,1004650,7429,7429
114,HD 27894,21,70,1.66E+30,550000,4875,4875
115,HD 93385,7,85,2.13E+30,828000,5823,5823
116,K2-3,11,46,1.091E+30,41742,3835,3835
117,HD 34445,7,60,2.13E+30,9600000,5836,5836
118,HD 204313,7,16,2.077E+30,785000,5767,5767
119,HD 3167,7,66,1.67E+30,605000,5300,5300
120,HIP 34269,,68,3.023E+30,557072,4440,4440
121,HD 133131,7,49,1.89E+30,620000,5799,5799
122,K2-136,7,78,1.475E+30,7000,4364,4364
123,HIP 14810,7,7,1.95E+30,,5485,5485
124,HD 191939,7,34,1.61E+30,653000,5348,5348
125,HD 125612,7,86,2.18E+30,730000,5897,5897
126,HD 184010,8,88,6.68E+30,7310000,4971,4971
127,HD 109271,7,86,2.08E+30,696340,5783,5783
128,HD 38677,7,60,2.41E+30,900000,6196,6196
129,TOI-178,21,74,1.29E+30,15600,4316,4316
130,HD 108236,7,19,1.72E+30,608600,5730,5730
131,Kepler-37,7,52,1.59E+30,550000,5417,5417
132,K2-72,11,4,5.37E+29,229581,3497,3497
133,Kepler-138,11,52,1.06E+30,3777,3871,3871
134,K2-233,7,49,1.59E+30,493000,4950,4950
135,TOI-1260,7,83,1.31E+30,,4227,4227
136,LP 358-499,11,78,1.035E+30,328000,3655,3655
137,K2-266,7,77,1.37E+30,1554.5,4285,4285
138,K2-155,11,78,1.29E+30,10410,4258,4258
139,K2-384,11,21,6.55E+29,6371,3623,3623
140,TOI-1136,7,34,2.03E+30,673253,5770,5770
141,TOI-561,21,77,1.56E+30,592000,5455,5455
142,Kepler-445,11,31,3.58E+29,241000,3157,3157
143,TOI-763,7,19,1.824E+30,624000,5444,5444
144,K2-229,7,86,1.664E+30,550000,5185,5185
145,Kepler-102,7,52,1.6E+30,506000,4809,4809
146,V1298 Tauri,7,78,2.17E+30,930000,4970,4970
147,K2-302,11,4,2.07E+30,138900,3297,3297
148,K2-198,11,86,1.59E+30,532000,5213,5213
149,TOI-125,7,43,1.71E+30,594428,5320,5320
150,HIP 41378,7,12,1.99E+30,888000,6199,6199
151,Kepler-446,11,52,1.31E+30,420470,3359,3359
152,HD 33142,8,48,3.02E+30,2923200,5025,5025
153,WASP-132,7,50,5.35E+30,523000,4714,4714
154,K2-148,7,21,1.29E+30,464812,4079,4079
155,Kepler-68,7,31,2.098E+30,864760,5793,5793
156,HD 28109,7,43,1.98E+30,991000,6120,6120
157,COROT-7,7,55,1.81E+30,570318,5275,5275
158,XO-2,7,51,1.08E+27,696340,,
159,Kepler-411,7,31,1.14E+30,343000,4974,4974
160,K2-381,21,72,1.49E+30,487438,4473,4473
161,K2-285,7,66,1.65E+30,16500.89,4975,4975
162,K2-32,7,59,1.7E+30,5888000,5275,5275
163,TOI-1246,7,34,3.38E+29,,5217,5217
164,K2-352,7,12,2.78E+30,695700,5791,5791
165,Kepler-398,21,52,1.29E+30,426500,4493,4493
166,Kepler-186,,31,1.08E+30,473500,3788,3788
167,K2-37,7,73,1.79E+30,,5413,5413
168,K2-58,7,4,1.7E+30,626130,5038,5038
169,K2-138,7,4,1.85E+30,,5378,5378
170,K2-38,7,73,4.4556E+30,,5731,5731
171,WASP-47,7,4,2.2E+30,792000,5400,5400
172,K2-368,7,4,1.48E+30,499904,4663,4663
173,HAT-P-13,7,83,2.43E+30,1083000,5638,5638
174,Kepler-19,7,31,1.86E+30,597000,5541,5541
175,Kepler-296,7,52,9.94E+29,335000,4249,4249
176,Kepler-454,7,52,2.05E+30,744310,5687,5687
177,Kepler-25,7,52,2.304E+30,902320,6190,6190
178,Kepler-114,7,31,1.33E+30,,4450,4450
179,Kepler-54,11,31,9.62E+29,385000,3705,3705
180,Kepler-20,7,52,1.843E+30,658000,5466,5466
181,K2-19,7,86,1.83E+30,616000,5250,5250
182,PSR B1257+12,10,86,2.784E+30,10,28856,28856
183,Kepler-62,7,52,1.52E+30,445250,4925,4925
184,Kepler-48,7,31,1.82E+30,622000,5190,5190
185,Kepler-100,7,52,2.148E+30,1066554,5825,5825
186,Kepler-49,11,31,1.09E+30,390000,3974,3974
187,Kepler-65,22,52,2.486E+30,980947,6211,6211
188,Kepler-52,11,34,1.075E+30,361764,4075,4075
189,K2-314,,49,7.2E+30,,5430,5430
190,K2-219,7,66,2.03E+30,827883,5753,5753
191,K2-268,7,12,1.67E+30,,,
192,K2-183,7,12,1.849E+30,,5482,5482
193,K2-187,7,12,1.93E+30,,5438,5438
194,Kepler-1542,7,52,1.87E+30,,5564,5564
195,Kepler-26,7,52,1.3E+30,410460,4500,4500
196,Kepler-167,7,31,1.54E+30,,4796,4796
197,Kepler-81,21,31,1.2729E+30,410536,4391,4391
198,Kepler-132,7,52,2.188E+30,768000,6003,6003
199,Kepler-80,11,31,1.45E+30,678000,4250,4250
200,Kepler-159,7,31,,461000,4625,4625
201,K2-299,7,4,1.8497E+30,,5724,5724
202,Kepler-88,7,52,1.981E+30,668570,5513,5513
203,Kepler-174,7,52,1.34E+30,432000,4880,4880
204,Kepler-32,7,31,1.15E+30,485000,3900,3900
205,Kepler-83,21,52,1.32064E+30,418200,4164,4164
206,TOI-1338,7,65,2.08E+29,907900,6160,6160
207,Kepler-271,7,52,1.79E+30,612200,5524,5524
208,Kepler-169,21,,1.71E+30,530000,4997,4997
209,Kepler-451 B,11,31,2.38E+29,117000,29564,29564
210,Kepler-451 A,23,,1.06E+30,116900,,
211,Kepler-304,7,31,1.37E+30,,4731,4731
212,Kepler-18,7,31,1.93E+30,763000,5345,5345
213,Kepler-106,7,31,1.989E+30,727000,5858,5858
214,Kepler-92,7,52,2.56E+30,12310.6,5871,5871
215,Kepler-450 A,7,31,2.685E+30,6298,6152,6152
216,Kepler-450 B,11,,,,,
217,Kepler-89,7,31,2.4862E+30,1120000,6116,6116
218,Kepler-1388,7,52,1.25E+30,421500,4098,4098
219,K2-282,24,66,1.87E+30,626000,5499,5499
220,Kepler-107,7,31,2.46E+30,1006000,5851,5851
221,Kepler-176,21,31,,,5232,5232
222,Kepler-1047,7,31,2.15E+30,788853,5754,5754
223,Kepler-55,21,52,1.23E+30,433000,4362,4362
224,Kepler-166,7,31,1.75E+30,,5413,5413
225,Kepler-11,7,31,1.889E+30,707000,5681,5681
226,Kepler-1254,21,34,1.55E+30,,4985,4985
227,Kepler-289,7,31,2.15E+30,696000,5990,5990
228,Kepler-85,7,31,1.9E+30,619262,5666,5666
229,Kepler-157,7,52,,,5774,5774
230,Kepler-342,7,31,2.188E+30,,6175,6175
231,Kepler-148,21,31,1.55E+30,560000,5019,5019
232,Kepler-51,7,31,1.9E+30,604000,5803,5803
233,Kepler-403,7,31,2.58E+30,929000,6090,6090
234,Kepler-9,7,52,2.13E+30,710000,5722,5722
235,Kepler-23,7,31,2.15E+30,1075380,5760,5760
236,Kepler-46,7,31,1.8E+30,652800,5155,5155
237,Kepler-305,21,31,1.64E+30,,4918,4918
238,Kepler-90,7,34,2.387E+30,834840,5930,5930
239,Kepler-150,7,52,5.71E+29,653958,5560,5560
240,Kepler-82,7,31,1.81E+30,590880,5512,5512
241,Kepler-154,7,31,1.77E+30,696340,5690,5690
242,Kepler-56,8,31,2.59E+30,2909946,4840,4840
243,Kepler-350,7,52,2.05E+30,447000,6215,6215
244,Kepler-603,7,31,,705000,5808,5808
245,Kepler-160,7,52,1.969E+30,777790,5470,5470
246,Kepler-401,7,31,1.19E+30,1190000,6117,6117
247,Kepler-58,7,31,2.035E+30,786141,5843,5843
248,Kepler-79,7,31,2.33E+30,9160,6187,6187
249,Kepler-60,7,31,,1044000,5915,5915
250,Kepler-122,7,,2.13E+30,,6050,6050
251,Kepler-279,7,52,2.45E+30,1224480,6562,6562
252,Kepler-255,7,31,1.93E+30,,5573,5573
253,Kepler-47,7,31,1.903E+30,,5636,5636
254,Kepler-292,21,,1.7502E+30,,5299,5299
255,Kepler-27,7,31,1.3E+30,5150400,5400,5400
256,Kepler-351,7,52,1.77E+30,,5643,5643
257,Kepler-276,7,31,1.91E+30,730485,5812,5812
258,Kepler-24,7,52,2.208E+30,744400,5800,5800
259,Kepler-87,22,31,2.0088E+30,1257800,5600,5600
260,Kepler-33,7,52,2.56E+30,1153000,5849,5849
261,Kepler-282,7,52,2.16E+30,786864.2,5876,5876
262,Kepler-758,7,31,2.307E+30,,6228,6228
263,Kepler-53,7,52,1.9491E+30,696340,5858,5858
264,Kepler-30,7,52,1.969E+30,660400,5498,5498
265,Kepler-84,7,31,2.05E+30,,5755,5755
266,Kepler-385,7,31,2.17E+30,760000,5835,5835
267,Kepler-31,7,31,2.4066E+30,853000,6340,6340
268,Kepler-238,7,52,2.84E+30,695700,5614,5614
269,Kepler-245,21,31,1.591E+30,,5100,5100
270,Kepler-218,7,31,1.39E+30,763000,5502,5502
271,Kepler-217,7,31,,1252260,6171,6171
272,Kepler-192,7,52,,,5479,5479
273,Kepler-191,21,31,1.65E+30,528000,5282,5282
274,Kepler-431,7,52,2.12814E+30,762700,6004,6004
275,Kepler-338,7,52,1.1E+30,1224000,5923,5923
276,Kepler-197,7,31,1.71E+30,807128,6004,6004
277,Kepler-247,21,52,1.76E+30,,5094,5094
278,Kepler-104,7,52,1.62E+30,,5711,5711
279,Kepler-126,7,31,2.206E+30,945600,6239,6239
280,Kepler-127,7,52,,945000,6106,6106
281,Kepler-130,7,52,1.989E+30,820000,5884,5884
282,Kepler-164,7,52,2.29E+30,,5888,5888
283,Kepler-171,7,31,,,5642,5642
284,Kepler-172,7,52,1.71E+30,723000,5526,5526
285,Kepler-149,7,52,,688700,5381,5381
286,Kepler-142,7,31,1.97E+30,,5790,5790
287,Kepler-124,21,34,1.67E+30,695700,4984,4984
288,Kepler-402,7,52,2.17E+30,760000,6090,6090
289,Kepler-399,7,31,1.85E+30,,5502,5502
290,Kepler-374,7,31,,630800,5977,5977
291,Kepler-372,7,31,2.29E+30,,6509,6509
292,Kepler-363,7,52,2.13E+30,1113120,5593,5593
293,Kepler-359,7,31,2.13E+30,762000,6248,6248
294,Kepler-357,21,31,1.55E+30,579000,5036,5036
295,Kepler-354,21,52,1.3E+30,464800,4648,4648
296,Kepler-206,7,52,2.03E+30,751000,5764,5764
297,Kepler-203,7,31,1.95E+30,718000,5821,5821
298,Kepler-194,7,31,1.95E+30,6856300,6089,6089
299,Kepler-184,7,52,1.989E+30,570474,5788,5788
300,Kepler-178,7,52,,,5676,5676
301,Kepler-336,7,52,2.11E+30,900300,5867,5867
302,Kepler-334,7,52,2.03E+30,695800,5828,5828
303,Kepler-332,21,52,,503280,4955,4955
304,Kepler-331,21,52,1.3E+30,,4347,4347
305,Kepler-327,11,31,1.09E+30,3826.35,3799,3799
306,Kepler-326,21,31,1.81E+30,558000,5105,5105
307,Kepler-325,7,31,1.73E+30,,5752,5752
308,Sagittarius A,16,72,8.54E+36,12700000,99.8,9704
309,Gaia BH1,14,59,1.91E+31,28,5850,5850
310,Cygnus X-1,14,31,4.17579E+31,62.020127,5336,5336
311,Cygnus X-3,25,31,3.977E+30,5.907,80000,80000
312,A0620-00,14,55,1.31239E+30,19.49204,4000,10000
313,V404 Cygni,14,31,1.78962E+31,26.580054,4800,4800
314,GRO J1655-40,14,73,1.25274E+31,18.606038,7000,7000
315,Gaia BH2,14,19,1.78962E+31,26.580054,0,0
316,Omega Centauri,15,19,1.988E+33,60532.5,3000,68000
317,47 Tucanae,15,82,1.988E+33,8861.5,4200,10850
318,Carina Nebula,17,17,2E+36,2.18E+15,10,10000
319,Orion Nebula,17,60,4E+33,114000000000000,10,10000
320,Crab Nebula,17,78,9.2E+30,47300000000000,10000,100000000
321,Trifid Nebula,17,72,6E+32,200000000000000,10,10000
322,NGC 592,20,80,,1.9E+15,10,10000
323,N44,20,33,2E+35,3.3E+15,10,10000
324,Prawn Nebula,17,73,2E+34,950000000000000,10,10000
325,Omega Nebula,17,72,1.6E+33,142000000000000,10,10000
326,2I/Borisov,,11,20000000000,0.5,30,250
327,3I/ATLAS,,40,10000000000,0.75,30,250
328,TrES-2b,2,34,3.8E+27,83000000,1885,1885
329,WASP-103 b,2,40,4.5E+27,110000000,1880,2930
330,HD 189733 b,2,88,3.4E+27,81000000,1192,1490
331,Kepler-452 b,1,31,3E+25,9600000,265,265
332,Kepler-22 b,1,31,,1460000,,
333,HD 209458 b,2,62,2.2E+27,100089,972,1499
334,Luyten b,1,15,1.72E+25,9618,259,292
335,51 Pegasi b,2,62,8.74E+26,113000000,,1260
336,Gliese 581c,1,49,3.3E+25,9600,,313
337,PSR B1620-26 b,2,73,4.74E+27,82500,72,72
338,Gliese 876 d,1,4,1.3E+25,,614,614
339,Kepler-11 f,3,31,1.37E+25,17050,374,374
340,CoRoT-7b,1,55,1.85E+30,10009,5250,5250
341,55 Cancri e,1,12,4.78E+25,13100,,2700
342,Kepler-16 b,2,31,3.35E+29,53891,173,173
343,Kepler-186 f,,31,8.28E+24,7454,192,250
344,WASP-12 b,2,8,1.39E+30,130044,2900,3200
345,WASP-76 b,2,67,1.746E+27,128600,2190,2693
346,WASP-121 b,2,9,1.32E+27,12800,1100,3000
347,KELT-9 b,2,31,5.466E+27,135191,3040,4600
348,HET-P-7 b,2,31,1.29E+28,134500,,
349,Kepler-62 f,1,52,1.67216E+25,9283,208,733
350,Kepler-442 b,1,52,1.41E+25,8540,209,233
351,Kepler-69 c,1,31,1.28E+25,11140,325,325
352,GJ 1214 b ,2,59,4.87E+25,17200,990,990
353,TOI-700 d,1,33,1.43E+25,7780,268.8,268.8
354,TRAPPIST-1 e,1,4,4.133E+24,5860,225,246
355,TRAPPIST-1 f,1,4,6.19E+24,6665.2,218,218
356,TRAPPIST-1 g,1,4,7.90358E+24,7200.9,197.3,198.6
357,Proxima Centauri b ,1,19,7.6E+24,7455,3000,3000
358,Ross 128 b,1,86,8.306E+24,7008,213,294
359,Kepler-10 b,1,34,1.94E+25,8930,50,3000
360,Kepler-20 e,1,52,5.79384E+25,6900,1040,1040
361,GJ 3470 b,2,12,2.37E+25,69911,547,615
362,HAT-P-11-b,2,31,8.24E+25,29180,630,950
363,OGLE-2005-GLB-390Lb,3,73,3.28E+25,,50,50
